detuning [2pi MHz], centre of mass [mm]
-2.375, -9.751768906199288
-2.1634615384615383, -8.552269671257015
-1.9487179487179487, -7.294922798720267
-1.7403846153846152, -6.095405016924007
-1.532051282051282, -5.055019242361016
-1.317307692307692, -3.9423378309454264
-1.1057692307692308, -2.7139055037789226
-0.8942307692307692, -1.6735382760699231
-0.6794871794871793, -0.8501877868966492
-0.4679487179487176, -0.33061621922381557
-0.25961538461538414, -0.0858904808271912
-0.04487179487179471, -0.04373348170816671
