,x,y,z
0,0,11,292
1,0,33,566
2,0,69,884
3,0,174,1295
4,0,296,1620
5,0,283,2171
6,0,292,2499
7,0,401,2843
8,0,421,2966
9,0,505,4118
10,0,731,4347
11,0,881,4953
12,0,760,5605
13,0,860,5360
14,0,1011,5918
15,0,1039,6271
16,0,1283,6635
17,0,1734,7510
18,0,1790,7210
19,0,1741,7622
20,0,1753,8605
21,0,2125,9362
22,0,2270,10621
23,0,2211,11235
24,0,2644,13291
25,0,3079,13013
26,0,3178,14304
27,0,3097,14889
28,0,3557,16306
29,0,4077,17190
30,0,4506,18247
31,0,4812,18828
32,0,5017,20268
33,0,5515,21438
34,0,5671,21437
35,0,6320,20842
36,0,6353,24229
37,0,7427,25130
38,0,7851,27222
39,0,7909,27579
40,0,8522,29052
41,0,8587,30327
42,0,9042,31341
43,0,10402,31977
44,0,11245,34402
45,0,11281,36385
46,0,12298,37572
47,0,12929,38056
48,49,13637,41021
49,32,13467,41956
50,81,14115,42900
51,13,15832,44676
52,143,16118,46666
53,373,17421,48484
54,312,18698,48432
55,208,18868,50378
56,223,19272,51883
57,345,19490,50728
58,343,22093,54591
59,537,22447,55838
60,630,22899,58095
61,605,24849,59674
62,624,25989,60596
63,990,25373,63278
64,1315,26709,65297
65,1439,27556,66073
66,1324,27865,66897
67,1620,28276,65984
68,1959,29470,67845
69,2719,30745,67804
70,3825,30479,69286
71,3761,32648,70024
72,4968,32057,72013
73,5065,32576,73938
74,4677,32753,77213
75,5472,34797,76664
76,6218,35476,76701
77,7022,35498,74068
78,9332,38426,77293
79,9042,37977,76563
80,10029,40267,77285
81,11971,41855,78303
82,11852,41103,76420
83,14344,41053,77049
84,14784,40298,77172
85,15551,42051,77335
86,18251,42931,78799
87,20642,46934,80823
88,22033,46851,79159
89,23828,48467,76717
90,25422,46012,78591
91,25824,48592,78457
92,29589,47865,80112
93,32994,49814,79279
94,34545,50439,79962
95,39908,52828,81887
96,42318,52713,81090
97,44373,53134,82417
98,47988,55184,79482
99,50359,55978,79372
100,55994,54719,78452
101,58832,56103,80353
102,60772,55445,76829
103,65235,53978,77283
104,71130,54834,74095
105,74286,56512,73545
106,78712,57680,72856
107,84072,58832,71223
108,85419,57164,70545
109,89247,59334,69551
110,92024,60425,67719
111,99502,60685,69011
112,105198,59604,67015
113,109396,58574,67280
114,113118,60278,65655
115,117124,59017,64930
116,120486,60449,66018
117,125385,59510,67833
118,131841,61533,63897
119,132845,60797,60283
120,138302,62406,58530
121,142732,63437,59196
122,146887,61271,57888
123,150372,61040,57620
124,150787,61097,56509
125,150209,61867,55479
126,148976,59573,52430
127,146756,59680,50920
128,149390,60763,48097
129,149580,61530,46444
130,148774,62217,44812
131,146492,62436,44126
132,143743,60685,43950
133,144590,60481,41391
134,140082,60359,38268
135,138595,61566,36888
136,136175,59946,36972
137,132316,60108,36819
138,129007,59680,35705
139,124722,59952,34848
140,118247,59980,33056
141,112694,60718,31385
142,108416,60308,31831
143,105305,59185,29875
144,100616,59367,29679
145,95946,59428,29667
146,92129,59751,27873
147,88427,58445,26231
148,81140,57681,25210
149,76596,57264,25400
150,72865,57175,23664
151,69306,57573,21544
152,62644,57156,21168
153,57404,58315,21680
154,54796,55266,20020
155,52264,54793,18360
156,49437,53150,18495
157,43975,54093,16512
158,37647,53893,15534
159,37893,54292,14167
160,35891,53477,13669
161,35205,52633,12569
162,30795,50323,11961
163,28329,51941,11275
164,26730,50911,11448
165,24196,51144,9711
166,21102,49292,8756
167,20343,47217,8989
168,18672,47577,8338
169,17787,47247,7211
170,17140,46249,6338
171,14914,45179,6561
172,13399,43781,6184
173,12773,45746,5894
174,12860,43370,4856
175,10334,41983,4794
176,9331,40755,4714
177,8264,41518,4646
178,7865,39385,5048
179,8001,38725,4027
180,5899,36822,3783
181,5431,37254,4039
182,6255,35165,4014
183,5432,34459,3290
184,4350,33202,3155
185,4009,32238,2771
186,3280,31694,2330
187,2262,29290,2509
188,2307,27039,2684
189,1507,27804,2358
190,1289,25902,1963
191,1176,25982,1832
192,1124,25000,1745
193,1162,24117,1545
194,890,23524,1513
195,646,23473,1399
196,859,22192,1550
197,555,20099,1478
198,280,20284,1496
199,287,19457,1416
200,202,18914,1095
201,103,18213,1182
202,112,15945,865
203,157,15463,833
204,183,15768,499
205,0,14501,407
206,0,13749,449
207,0,13503,223
208,0,12063,236
209,0,10498,277
210,0,10034,284
211,1,9598,308
212,0,8953,208
213,0,8387,240
214,0,8050,190
215,0,8564,186
216,0,8987,254
217,0,7731,219
218,0,7118,159
219,0,6137,217
220,0,6406,114
221,0,5935,60
222,0,5293,93
223,0,4653,147
224,0,4275,39
225,0,3634,22
226,0,3634,38
227,0,3570,38
228,0,3534,33
229,0,3429,39
230,0,3353,35
231,0,3170,37
232,0,3029,47
233,0,2660,52
234,0,2253,48
235,0,2136,84
236,0,1850,139
237,0,1661,53
238,0,1414,4
239,0,1292,3
240,0,1247,6
241,0,1176,3
242,0,884,1
243,0,975,3
244,0,881,1
245,0,735,0
246,0,674,1
247,0,703,1
248,0,546,6
249,0,477,6
250,0,437,3
251,0,405,3
252,0,298,1
253,0,207,0
254,0,263,1
255,0,53,1
