,x,y,z
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,1
21,0,0,16
22,0,0,118
23,0,1,286
24,0,6,299
25,0,6,468
26,0,82,793
27,0,83,766
28,0,69,1032
29,0,78,1669
30,0,137,1275
31,0,327,1394
32,0,228,1341
33,0,166,1337
34,0,199,1746
35,0,540,2233
36,0,594,2625
37,412,567,2525
38,513,617,2600
39,470,725,3212
40,762,1108,2697
41,657,1201,2876
42,673,1105,3019
43,848,1045,3172
44,855,1113,3713
45,693,1191,4447
46,813,1390,2649
47,1132,1605,2788
48,1460,1625,2408
49,1398,1617,3709
50,1801,1566,4374
51,1686,1977,3224
52,2233,1892,3107
53,2324,1803,2093
54,2466,2005,2314
55,2163,2025,2095
56,2777,1807,1663
57,2311,1972,1466
58,2872,1797,1632
59,2575,1822,1694
60,2403,2003,1258
61,2882,1896,1624
62,2692,1846,893
63,2583,1863,717
64,2673,1862,772
65,2630,1851,587
66,2454,1852,444
67,2689,2328,516
68,2852,2124,384
69,2902,2212,476
70,3029,2216,382
71,2386,2406,215
72,2683,2882,353
73,2720,2433,67
74,2287,2196,122
75,2708,1816,129
76,2020,1713,0
77,2156,1797,0
78,1554,1884,0
79,1092,1503,0
80,1186,1573,0
81,1135,1789,0
82,1035,1282,0
83,711,1464,0
84,627,1006,0
85,546,1190,0
86,271,674,0
87,303,1021,0
88,194,713,0
89,228,264,0
90,290,321,0
91,0,310,0
92,0,225,0
93,0,170,0
94,0,221,0
95,0,238,0
96,0,223,0
97,0,79,0
98,0,81,0
99,0,61,0
100,0,50,0
101,0,27,0
102,0,32,0
103,0,12,0
104,0,11,0
105,0,3,0
106,0,0,0
107,0,1,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
