,x,y,z
0,0,0,1
1,0,0,6
2,0,0,10
3,0,0,0
4,0,0,4
5,0,0,2
6,0,0,9
7,0,0,8
8,0,0,10
9,0,0,2
10,0,0,6
11,0,0,2
12,0,0,10
13,0,0,919
14,0,0,623
15,0,0,499
16,0,0,333
17,0,0,317
18,0,0,665
19,0,0,1730
20,0,0,2345
21,0,0,2497
22,0,0,3644
23,0,0,3353
24,0,0,4244
25,0,0,7993
26,0,0,9118
27,0,0,15934
28,0,0,18453
29,0,0,22750
30,0,0,22291
31,0,0,25376
32,0,0,32637
33,0,725,38698
34,0,586,39907
35,0,390,48719
36,0,370,64750
37,0,280,84190
38,0,1348,88501
39,0,2018,116859
40,0,1157,142676
41,0,2341,179368
42,0,6206,228765
43,0,7162,288798
44,0,13528,360414
45,0,15372,440152
46,0,19272,593249
47,0,20709,810279
48,0,34309,1179813
49,0,61221,1593244
50,0,85019,2153379
51,0,106996,2724562
52,0,165426,3166029
53,0,249602,3541138
54,0,381101,3543950
55,0,556656,3427114
56,895,819632,3171921
57,9276,1127757,2741271
58,54948,1606353,2262171
59,264744,2127700,1754615
60,991507,2517786,1289067
61,2804995,3130323,976284
62,6097233,3430311,743926
63,9783721,3628936,568012
64,9816230,3667666,410750
65,6044259,3366482,306262
66,2840650,3061946,223371
67,980632,2505446,154627
68,242254,2062616,99812
69,46153,1503296,76464
70,3986,1087925,44277
71,0,795209,30366
72,0,538905,21551
73,0,385787,16164
74,0,267767,11548
75,0,170248,8203
76,0,112715,8271
77,0,83481,4985
78,0,52444,3346
79,0,50049,4390
80,0,38925,5650
81,0,26100,2107
82,0,12933,1395
83,0,12466,1641
84,0,11267,2162
85,0,10270,1447
86,0,7650,692
87,0,7690,1139
88,0,11339,1749
89,0,3351,460
90,0,808,1042
91,0,976,0
92,0,3376,0
93,0,1758,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
