,x,y,z
0,0,30,580
1,0,46,1484
2,0,46,3754
3,0,58,5823
4,0,76,7917
5,0,77,9709
6,0,136,10709
7,0,191,10381
8,0,397,10151
9,42,540,10406
10,63,584,19756
11,93,557,142814
12,93,511,313108
13,91,501,466684
14,90,485,609186
15,91,476,904385
16,138,524,1332015
17,198,680,2260893
18,219,4859,4151026
19,213,11928,7467258
20,293,11750,8210469
21,287,17348,5011717
22,276,15686,2171075
23,257,15662,896229
24,188,15094,502024
25,276,19753,316755
26,334,22863,218339
27,337,20810,179248
28,330,25214,152945
29,369,25721,137389
30,361,26579,125175
31,383,30057,116559
32,424,29382,108019
33,425,28320,105138
34,493,30230,94883
35,503,29930,89242
36,508,32375,83841
37,533,32049,80541
38,616,34257,74970
39,655,37998,75471
40,662,42701,68988
41,680,45657,66030
42,695,47481,64664
43,872,52234,75912
44,4752,59072,67360
45,10016,65042,52817
46,15412,79157,54853
47,17407,81617,46195
48,22345,89514,52668
49,28659,105026,43369
50,30459,115717,38955
51,38437,128216,52097
52,49742,147274,45044
53,66590,162642,32056
54,90643,186848,37800
55,116910,221578,30131
56,152428,297376,26087
57,221403,392626,24240
58,354848,603137,31835
59,661978,1006258,39174
60,1389450,1737936,25590
61,2808750,2944570,21233
62,5077787,4297319,20047
63,7739320,5186592,16865
64,7747277,5174799,16714
65,5148323,4279185,17051
66,2757771,3035141,16152
67,1343576,1881841,14013
68,646875,1054855,12450
69,342718,629299,10634
70,227837,396325,9476
71,164713,283024,8944
72,129793,239779,8643
73,97730,198585,8051
74,70331,175313,8614
75,46436,160862,7269
76,39317,137316,7814
77,38338,123526,7386
78,29412,114576,6238
79,24324,104522,7050
80,18727,92832,7358
81,14353,83046,4791
82,10383,76228,4612
83,3888,70055,4179
84,607,63782,4249
85,571,60612,5152
86,581,54632,3996
87,593,48843,3356
88,574,48200,3212
89,571,41601,2905
90,596,40385,4180
91,595,39501,2915
92,575,36963,3027
93,529,39992,3025
94,583,34551,3028
95,659,32819,5011
96,629,32108,4392
97,621,31556,2879
98,503,30229,3253
99,430,26478,3386
100,415,22238,3788
101,308,20323,4968
102,255,16322,5997
103,260,15343,8056
104,260,15621,8537
105,273,32558,7768
106,278,30145,6728
107,281,22239,6206
108,267,24258,2810
109,185,23738,875
110,101,4996,339
111,104,1159,589
112,104,720,138
113,106,636,24
114,106,313,23
115,106,193,22
116,108,170,20
117,103,167,20
118,30,148,19
119,26,153,19
120,27,175,18
121,26,50,18
122,27,29,17
123,27,28,17
124,4,28,16
125,0,28,16
126,0,25,16
127,0,16,3
