,x,y,z
0,0,5470,18110
1,0,12567,29712
2,0,40671,35244
3,0,53729,45995
4,0,14437,50508
5,0,38998,67193
6,9,28476,66624
7,556,11963,67488
8,525,13918,84833
9,529,26115,88494
10,618,35406,105564
11,661,21497,118135
12,628,21584,154100
13,605,45715,153710
14,0,18527,212767
15,0,27016,235730
16,0,143657,260907
17,0,289075,332949
18,0,161834,288030
19,0,208850,208112
20,0,187156,171762
21,0,408414,183664
22,496,302556,165770
23,6086,375676,294190
24,1881,370014,326275
25,1924,288532,310833
26,4492,304866,368677
27,30313,241240,311871
28,54774,179445,341019
29,189969,295711,254949
30,365492,231972,301492
31,414222,347251,291930
32,349733,228875,273875
33,294149,118966,309056
34,335025,100772,324418
35,390480,145496,294505
36,324722,148546,195853
37,263265,138160,211647
38,235214,195935,221901
39,282983,226614,229014
40,276859,240233,295841
41,238278,216346,304574
42,214769,125629,214815
43,273900,300452,343077
44,260841,64915,884627
45,243955,49067,1995138
46,239797,253978,3918034
47,285313,159496,6736123
48,213920,145102,10923765
49,205510,231565,17329212
50,259786,458199,30749048
51,211823,400453,68686348
52,260671,612807,78280978
53,261731,685590,34101567
54,242880,786431,9957817
55,183667,961036,3085385
56,131708,1058885,1430212
57,224073,1224287,1105606
58,262174,1927384,829462
59,219854,3509069,765534
60,201779,9541442,658342
61,202675,20349459,585138
62,5274984,40937916,606061
63,131980909,56373547,560217
64,133358637,57203589,598719
65,5261044,40575271,478776
66,341366,21074182,456120
67,204044,8853436,460325
68,172819,3485850,483408
69,161298,1835633,457839
70,141815,1140076,400048
71,206708,1068026,383024
72,221694,982966,380160
73,186718,786691,404544
74,115897,653600,365167
75,134771,466133,351222
76,159147,401314,424019
77,162271,398428,363811
78,158105,407877,341876
79,181691,567450,269412
80,197172,138733,289317
81,203233,210255,304500
82,183455,127050,264342
83,190094,184784,216868
84,159105,159978,182444
85,247774,42659,223636
86,340859,55148,196460
87,311728,66864,293619
88,478280,368717,190290
89,448263,204227,197690
90,579229,405882,204781
91,601885,318252,236806
92,521607,353361,228111
93,650063,219299,139291
94,567053,208679,140910
95,640403,443954,93155
96,465919,192659,88447
97,252492,233801,117955
98,110645,140429,118078
99,66850,59631,174017
100,2226,168202,100459
101,0,262998,94512
102,0,256538,139215
103,0,195019,65030
104,0,388136,111513
105,0,230298,52011
106,0,245568,146640
107,0,84224,297630
108,899,163922,178019
109,883,140877,52620
110,853,171175,11205
111,885,212580,25151
112,966,243766,37205
113,228,162431,77623
114,0,73320,39257
115,0,76523,4030
116,0,74979,3276
117,0,67871,2432
118,0,50510,153
119,0,61960,152
120,0,29991,154
121,0,42398,153
122,0,60444,152
123,0,43205,153
124,0,48736,152
125,0,34455,152
126,0,14910,145
127,0,3371,73
