,x,y,z
0,0,0,100
1,0,0,641
2,0,0,1022
3,0,0,1382
4,0,0,1475
5,0,0,1351
6,0,394,1409
7,0,667,1728
8,0,30,2568
9,0,0,2839
10,0,0,3007
11,0,0,2957
12,783,0,3421
13,5262,39,3383
14,1522,749,3284
15,2283,1680,3090
16,2077,1387,3312
17,3792,1609,3368
18,445,1615,3482
19,415,1622,3460
20,469,1520,3713
21,372,1485,3604
22,436,1932,3976
23,328,2865,4220
24,292,2372,4467
25,284,1407,3793
26,296,1937,3535
27,317,2887,3532
28,274,2272,4935
29,251,4321,9546
30,631,2894,18836
31,3333,12370,11090
32,2155,1997,9535
33,3075,2080,6598
34,2436,1161,3999
35,3369,838,6904
36,2624,2882,28766
37,1731,8547,49494
38,1534,9815,86141
39,1696,4250,116903
40,2288,5983,170860
41,2681,8516,220920
42,2485,5061,249196
43,2751,14151,383766
44,3132,8052,633639
45,2937,5188,1142037
46,2974,6458,1958290
47,2934,5655,1920329
48,2525,7733,1052573
49,2263,10742,384846
50,1986,9599,106104
51,1688,9089,36555
52,1519,26077,23935
53,1598,19048,34299
54,1677,17574,27823
55,2108,20624,27281
56,2532,41460,12064
57,3403,56989,12740
58,3974,106406,14983
59,4935,234551,8662
60,13580,463579,9366
61,76436,835754,6339
62,711425,1182458,6438
63,3585571,1332190,5037
64,3546573,1381973,3319
65,707591,1112498,3600
66,78594,757873,3530
67,10844,437989,4142
68,7116,284033,5098
69,3997,131889,5173
70,3566,67210,3882
71,3157,33879,3285
72,3106,39699,2227
73,2808,21235,2412
74,2526,13793,2775
75,2595,10833,5549
76,2665,13851,3777
77,2815,18314,2960
78,3042,9626,661
79,3270,13669,1644
80,3625,5010,3908
81,3397,1585,1228
82,4019,3023,1352
83,3484,1954,364
84,3434,6958,366
85,3474,4823,1215
86,2810,3086,0
87,2613,3241,0
88,2802,4976,0
89,4293,464,0
90,3497,2526,0
91,3179,9563,0
92,3399,1682,0
93,1652,2454,0
94,1553,273,0
95,3527,103,0
96,1583,107,0
97,990,113,0
98,917,109,0
99,1368,172,0
100,1883,1688,0
101,1567,3858,0
102,1176,3971,0
103,328,3073,0
104,353,5344,0
105,352,1302,0
106,496,1207,0
107,459,1553,0
108,396,1589,0
109,513,1413,0
110,218,1204,0
111,0,613,0
112,0,263,0
113,0,172,0
114,7521,6,0
115,4388,0,0
116,0,231,0
117,0,268,0
118,0,286,0
119,0,29,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,93,0
127,0,105,0
