,x,y,z
0,0,558,5831
1,0,1446,12282
2,0,7001,14860
3,0,18980,12460
4,0,23514,10455
5,0,18323,14705
6,0,20136,15148
7,0,17379,15987
8,0,23670,21973
9,0,25034,24238
10,0,21560,23400
11,0,29645,16991
12,0,16228,14524
13,0,14857,12241
14,0,17551,14892
15,0,20098,14355
16,0,11050,39294
17,0,14677,24870
18,0,26698,21307
19,0,12192,14292
20,0,29128,13069
21,0,10553,12283
22,0,34616,34110
23,0,20515,15911
24,0,17423,20824
25,0,22150,45597
26,0,17019,21064
27,0,15267,21809
28,0,12642,22065
29,0,16766,30887
30,0,16795,31672
31,0,34851,20694
32,0,14573,15803
33,0,31747,13131
34,32317,28177,20258
35,5702,17533,26522
36,26264,17539,24484
37,2406,14215,24929
38,35893,8527,23117
39,38304,36874,23771
40,18243,15473,26098
41,26301,8667,24553
42,36373,11075,22694
43,15434,21077,32838
44,10941,8994,19316
45,13080,33262,22222
46,7277,9744,19046
47,21039,4645,123587
48,22817,21418,287164
49,18385,14923,521774
50,21434,9409,787923
51,17992,8660,1321516
52,28613,9149,2726869
53,26124,36550,3140160
54,34510,35118,929977
55,35378,29982,174746
56,19689,45148,67658
57,21419,23364,41501
58,25000,42172,40548
59,40516,118800,33775
60,46026,302953,18854
61,38294,767624,15608
62,167603,1601505,17534
63,5006433,2248366,20662
64,5028789,2107612,29684
65,175431,1630889,29904
66,76807,773017,16683
67,58369,280077,40619
68,28721,91908,15826
69,57696,49424,11814
70,60392,34928,14787
71,48154,54577,21117
72,52638,32123,39592
73,68659,21366,24685
74,51715,14404,22336
75,21212,21791,14819
76,23099,6236,37188
77,22612,3285,32349
78,18144,13344,10799
79,20748,13419,15317
80,20204,8304,12959
81,33854,10199,7438
82,29317,9079,13520
83,18673,23733,24047
84,19781,12201,19672
85,14783,4976,4299
86,8743,18654,7817
87,7709,26395,20144
88,6947,9442,27856
89,9690,14195,10028
90,17658,11840,16939
91,28623,5320,18988
92,38994,5867,21953
93,27943,26087,27598
94,36916,23414,21399
95,750,15267,10314
96,0,11630,10972
97,0,8115,13331
98,0,6939,5515
99,0,12538,15744
100,0,16104,6218
101,0,34380,5434
102,0,44786,9725
103,0,23807,3307
104,0,22204,1825
105,0,15800,1731
106,0,19254,2144
107,0,12033,1067
108,0,5773,1048
109,0,6779,433
110,0,16045,401
111,0,10884,801
112,0,13966,6618
113,0,25070,14066
114,0,15093,7980
115,0,5036,0
116,0,6393,0
117,0,7343,0
118,0,17571,0
119,0,13114,0
120,0,15134,0
121,0,15619,0
122,0,12251,0
123,0,8758,0
124,0,3601,0
125,0,4819,0
126,0,3264,0
127,0,517,0
