,vx,vy,vz,x,y,z
0,0,0,94,0,0,0
1,0,0,349,0,0,0
2,0,0,836,0,0,0
3,0,0,1454,0,0,0
4,0,0,1442,0,0,0
5,0,0,1973,0,0,0
6,0,4,1822,0,0,0
7,0,4,2746,0,0,0
8,0,5,3120,0,0,0
9,0,8,4106,0,0,0
10,0,4,4999,0,0,0
11,0,4,7051,0,0,0
12,0,6,7263,0,0,0
13,0,7,7983,0,0,0
14,0,11,8346,0,0,0
15,0,23,10812,0,0,0
16,0,161,12286,0,0,0
17,0,375,13730,0,0,0
18,0,374,15724,0,0,0
19,0,393,20060,0,0,0
20,0,485,23816,0,0,0
21,0,572,29872,0,0,0
22,0,196,28799,0,0,0
23,0,249,31510,0,0,0
24,0,288,35079,0,0,0
25,0,371,35284,0,0,4371
26,0,342,37682,0,0,42843
27,0,284,42494,0,0,283243
28,0,437,46732,0,0,534374
29,24,868,51571,0,0,707313
30,657,1595,53363,0,0,986538
31,1038,3148,62145,0,0,1173627
32,1439,3366,65117,0,0,1379485
33,1304,4624,67863,0,35850,1897128
34,3015,7478,73846,0,91096,2641479
35,3327,14374,81456,0,54138,3485665
36,4097,18414,87632,0,19904,5395218
37,7036,23024,100316,0,20175,10556301
38,15542,31787,104900,0,20641,15947150
39,23573,39218,121190,0,22599,15137379
40,34700,57935,136682,0,37757,9121302
41,44994,82878,154060,0,48068,3653765
42,62063,107691,172319,0,70112,1234605
43,89094,133403,203459,0,77490,432822
44,118943,153721,247391,0,87693,245286
45,160302,198658,302350,0,91371,183290
46,206499,255726,362922,0,95961,130218
47,289886,337587,430621,0,124774,187238
48,387424,426557,535381,0,117130,149198
49,490992,530981,638767,0,141052,167937
50,674548,674685,777631,0,171487,102994
51,871810,823574,978630,0,194062,131294
52,1079267,1017403,1216014,0,275743,124096
53,1321908,1282945,1473595,0,343374,82968
54,1683364,1553366,1784957,0,430965,68709
55,2044019,1925043,2135723,0,576698,39986
56,2400076,2309824,2538116,0,884756,37594
57,2778806,2724585,2967934,0,1330580,40975
58,3213904,3152002,3325579,0,2147332,45944
59,3617216,3550888,3632519,38134,3176937,37767
60,3961793,3895881,3920441,346649,4616564,39272
61,4231487,4201137,4208400,2422138,6290496,31196
62,4440226,4426470,4355792,10124529,7765092,33345
63,4543801,4577914,4406172,26129212,9061960,30291
64,4539668,4559916,4392101,24916809,8803368,26571
65,4405724,4497082,4276337,10247626,7680572,27527
66,4196700,4269051,4033605,2477849,6288718,23155
67,3832794,3891624,3669181,370862,4658412,23771
68,3514749,3522253,3312677,32987,3374075,26957
69,3138530,3102876,2989120,0,2086453,39440
70,2715198,2700259,2611875,0,1259913,23717
71,2368796,2341305,2178331,0,818767,24475
72,2023564,1933014,1815913,0,543705,19268
73,1681202,1590697,1476148,0,566316,15525
74,1370600,1308174,1160404,0,493863,15145
75,1094967,1076345,897051,0,275125,14604
76,862418,829706,674905,0,224537,23651
77,669884,668778,468539,0,206719,11355
78,511554,509061,320779,0,151561,9313
79,403740,394784,223888,0,158648,9563
80,309789,284687,154260,0,162332,14532
81,211052,223882,91792,0,159617,14232
82,134279,178571,55819,0,104812,22769
83,94292,150134,35385,0,102378,15522
84,68929,117097,22120,0,93051,31391
85,45599,98541,13285,0,72689,12462
86,34161,76216,9229,0,56422,14927
87,26378,59277,5196,0,51155,19415
88,14722,43134,3398,0,35090,16395
89,11098,27663,1684,0,15217,4364
90,7572,19762,719,0,25952,3559
91,3850,17365,247,0,46838,10347
92,2466,16315,149,0,50973,27557
93,1855,9179,156,0,60995,10689
94,630,6056,39,0,44681,12866
95,564,3577,7,0,11984,17525
96,528,3383,7,0,0,0
97,468,3738,6,0,0,0
98,134,2472,6,0,0,0
99,102,2121,5,0,0,0
100,0,1580,6,0,0,0
101,0,1298,5,0,0,0
102,0,1318,8,0,0,0
103,0,998,7,0,0,0
104,0,851,5,0,0,0
105,0,491,4,0,0,0
106,0,663,5,0,0,0
107,0,597,6,0,0,0
108,0,651,3,0,0,0
109,0,524,0,0,0,0
110,0,520,0,0,0,0
111,0,704,0,0,0,0
112,0,840,0,0,0,0
113,0,704,0,0,0,0
114,0,709,0,0,0,0
115,0,512,0,0,0,0
116,0,400,0,0,0,0
117,0,362,0,0,0,0
118,0,250,0,0,0,0
119,0,211,0,0,0,0
120,0,220,0,0,0,0
121,0,171,0,0,0,0
122,0,124,0,0,0,0
123,0,217,0,0,0,0
124,0,88,0,0,0,0
125,0,104,0,0,0,0
126,0,128,0,0,0,0
127,0,47,0,0,0,0
