,vx,vy,vz,x,y,z
0,0,6,9,0,0,0
1,0,16,31,0,0,141
2,0,11,72,0,0,29
3,0,21,63,0,0,0
4,0,2,40,0,0,0
5,0,3,40,0,0,0
6,0,4,51,0,0,0
7,0,5,179,0,0,0
8,0,5,81,0,0,0
9,0,6,105,0,0,0
10,0,43,84,0,0,0
11,0,70,125,0,0,0
12,0,252,276,0,0,0
13,0,379,285,0,0,0
14,0,107,276,0,0,0
15,0,49,403,0,0,120
16,0,85,550,0,0,135
17,0,74,486,0,0,141
18,0,128,537,0,0,144
19,2,157,519,0,70,157
20,31,300,738,0,143,170
21,90,410,1028,0,143,170
22,200,418,708,0,157,73779
23,147,429,581,0,32294,72148
24,190,457,716,0,31837,11389
25,172,494,768,0,31556,59458
26,79,574,858,0,185,56496
27,102,608,821,0,8570,80297
28,98,685,1008,0,51569,15859
29,152,797,1163,0,9632,50146
30,124,846,1537,0,45150,8791
31,150,864,1490,0,128818,3415
32,201,956,1305,0,89740,50857
33,105,996,1611,0,4886,9294
34,362,1319,2017,0,85686,34743
35,527,1474,2636,0,19646,63063
36,538,1509,3278,0,138240,103014
37,552,1638,3544,0,149896,112409
38,791,1513,4211,0,79331,97134
39,743,1474,4474,67,135518,105689
40,764,1419,5482,250,153874,232661
41,980,1271,6328,263,113858,81469
42,1121,1334,7664,296,115256,93850
43,1519,1490,8056,283,50445,102235
44,1846,1557,8683,371,92500,53002
45,2053,1690,10242,392,245220,114906
46,1917,2129,13298,6865,118731,187178
47,1718,2907,16784,117305,152745,201384
48,1645,3227,22977,302024,206049,31592
49,1925,4094,31697,388261,42415,142042
50,1624,4708,43391,327246,156305,116712
51,1546,6022,59895,303054,102425,74854
52,2053,7799,85576,190283,63657,73919
53,5270,11237,121139,221169,80277,110502
54,12402,20643,175860,261698,75475,109520
55,34474,44602,258342,138051,17773,99240
56,90226,105752,376164,120672,41585,102508
57,217318,232309,552182,118051,132422,435821
58,470150,476746,783905,153759,155293,1170351
59,914958,905847,1105282,128322,17040,4134826
60,1600778,1578055,1553975,98964,131800,9063733
61,2474818,2467948,2124340,69150,333921,4583072
62,3367545,3367240,2713399,19619,1726634,954026
63,3947094,3974420,3100543,10247400,8438065,293484
64,3958717,3982941,3093582,10345220,8026416,152821
65,3373090,3343922,2735908,82677,1798894,121779
66,2485821,2429854,2203333,100594,300856,102854
67,1608748,1557800,1678820,80583,135749,99706
68,931324,899204,1248541,128025,22188,126925
69,484283,472701,874380,213298,35845,64888
70,226144,233728,577222,129488,92674,58977
71,92093,106364,351591,59366,34965,84335
72,34736,48720,197086,224935,11133,184953
73,13384,22593,105215,162588,11745,58125
74,5112,12274,54673,163838,99224,85682
75,3107,7294,26960,238601,81707,33375
76,2555,5455,12443,369394,98127,85155
77,2751,4001,6086,351076,65042,131764
78,3148,3357,3314,383490,97504,72472
79,3160,2742,1916,130577,199337,192103
80,2769,2007,1282,599,169304,72735
81,2248,1872,1178,31140,162953,61610
82,1893,1524,802,486,71801,88291
83,1462,1483,664,339,145667,48277
84,1364,1471,640,294,89387,64613
85,1228,1340,652,261,81380,68187
86,1029,1678,654,228,158856,27712
87,1151,1613,879,4,44796,48014
88,1159,1485,890,0,44331,51699
89,827,1691,1083,0,115546,53975
90,380,1967,899,0,52555,64576
91,556,1614,752,0,53072,87491
92,522,1376,641,0,32438,81815
93,434,966,401,0,33512,30627
94,387,964,227,0,44129,5630
95,499,802,195,0,38276,41954
96,335,778,333,0,63836,15937
97,330,786,318,0,42501,361
98,324,529,198,0,10831,14817
99,249,563,225,0,2211,79769
100,363,642,197,0,780,21303
101,434,604,384,0,476,78929
102,357,844,324,0,31385,10459
103,332,856,293,0,365,0
104,270,640,291,0,379,0
105,132,394,281,0,402,6979
106,82,424,186,0,304,8615
107,89,446,102,0,238,6357
108,132,355,166,0,180,4818
109,102,399,105,0,164,37377
110,81,253,131,0,145,0
111,46,137,152,0,135,0
112,18,328,38,0,128,0
113,4,291,81,0,67,0
114,0,228,28,0,0,0
115,0,124,15,0,0,0
116,0,200,69,0,0,0
117,0,213,106,0,0,0
118,0,160,21,0,60,0
119,0,91,0,0,88,0
120,0,116,0,0,0,0
121,0,27,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
