,vx,vy,vz,x,y,z
0,0,0,7,0,0,0
1,0,0,14,0,0,0
2,0,0,17,0,0,0
3,0,0,14,0,0,0
4,0,0,17,0,0,0
5,0,0,17,0,0,0
6,0,0,15,0,0,0
7,0,0,14,0,0,0
8,0,0,13,0,0,0
9,0,0,14,0,0,0
10,0,0,15,0,0,0
11,0,0,27,0,0,0
12,0,0,17,0,0,0
13,0,201,16,0,0,0
14,0,376,16,0,0,0
15,0,449,14,0,0,0
16,0,561,90,0,0,0
17,0,515,134,0,0,0
18,0,228,96,0,0,0
19,0,170,111,0,0,0
20,0,187,67,0,0,0
21,0,110,94,0,0,508
22,0,99,296,0,0,1360
23,0,80,291,0,0,1165
24,0,99,275,0,0,1165
25,0,99,146,0,0,6723
26,0,66,257,0,0,65097
27,0,109,241,0,0,86384
28,0,61,245,0,0,169966
29,0,20,182,0,0,264417
30,0,62,224,0,0,394961
31,0,60,286,0,0,437824
32,0,92,517,0,0,490425
33,0,59,491,0,0,564124
34,0,22,962,0,0,630115
35,0,41,1089,0,0,753981
36,0,21,729,0,0,1146738
37,0,37,943,0,0,1938613
38,0,46,901,0,0,3266854
39,0,36,903,0,0,4889934
40,0,20,1179,0,0,5237966
41,0,42,1231,0,0,3235494
42,0,26,1538,0,88,1346228
43,0,42,1685,0,154,410384
44,0,14,2596,0,5650,123282
45,0,17,3073,0,8433,24526
46,0,14,5297,0,11174,967
47,16,52,7873,0,7826,540
48,292,43,12348,0,3324,424
49,2657,223,21640,0,7973,381
50,8689,1824,29236,0,1141,364
51,17181,6871,37369,0,2102,276
52,32166,18304,57052,0,5490,0
53,72582,43136,98908,0,9331,0
54,148829,88096,169481,0,8653,0
55,241529,168563,288309,0,18619,0
56,408380,318621,431889,0,50690,0
57,646807,536139,662975,0,133145,0
58,956816,838670,950168,0,423085,0
59,1334121,1257232,1303312,6882,866631,0
60,1734660,1782293,1689398,69000,1469790,0
61,2109153,2288022,2056362,655668,2396587,0
62,2409346,2680828,2355093,3121125,3332843,0
63,2594297,2912640,2535261,8993869,3710678,0
64,2617339,2903683,2572818,8988499,3817046,0
65,2435917,2667707,2429069,3070375,3324163,0
66,2151847,2202172,2129799,624780,2544205,0
67,1761048,1714307,1770796,60426,1655347,0
68,1344189,1240718,1385411,3236,822300,0
69,952531,832417,978978,255,495733,0
70,651564,507356,654967,234,249659,0
71,401999,286350,412589,207,124413,0
72,254452,151798,248553,30,42653,0
73,149307,71803,133305,0,9880,0
74,80028,35948,73689,0,8029,0
75,41358,17870,35758,0,15610,0
76,20869,8239,18286,0,7423,0
77,8712,2977,10362,0,3710,0
78,2700,1606,3470,0,1008,0
79,634,1352,1692,0,0,121
80,242,579,1024,0,0,560
81,430,38,452,0,0,1797
82,182,13,323,0,0,3559
83,183,14,98,0,0,4108
84,100,12,37,0,0,2462
85,21,3,6,0,0,3720
86,10,19,0,0,0,4710
87,47,11,0,0,0,8275
88,112,25,0,0,0,19091
89,14,18,0,0,0,19833
90,110,15,0,0,0,25641
91,269,7,0,0,0,9523
92,250,22,0,0,0,0
93,88,33,0,0,0,0
94,144,49,0,0,0,0
95,79,78,0,0,0,0
96,43,64,0,0,0,0
97,96,41,0,0,0,0
98,10,36,0,0,0,0
99,20,56,0,0,0,0
100,101,22,0,0,0,0
101,6,49,0,0,0,0
102,0,72,0,0,0,0
103,0,67,0,0,0,0
104,0,83,0,0,0,0
105,0,85,0,0,0,0
106,0,127,0,0,0,0
107,0,50,0,0,0,0
108,0,49,0,0,0,0
109,0,55,0,0,0,0
110,0,63,0,0,0,0
111,0,77,0,0,0,0
112,0,176,0,0,0,0
113,0,194,0,0,0,0
114,0,92,0,0,0,0
115,0,75,0,0,0,0
116,0,41,0,0,0,0
117,0,46,0,0,0,0
118,0,38,0,0,0,0
119,0,6,0,0,0,0
120,0,25,0,0,0,0
121,0,6,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
