,vx,vy,vz,x,y,z
0,0,0,3,0,0,0
1,0,0,10,0,0,0
2,0,9,27,0,0,0
3,0,16,46,0,0,0
4,0,77,27,0,0,0
5,0,104,47,0,0,0
6,0,67,32,0,0,0
7,0,89,31,0,0,0
8,0,135,20,0,0,0
9,0,191,26,0,0,0
10,0,185,26,0,0,0
11,0,170,28,0,0,0
12,0,146,42,0,0,0
13,0,141,49,0,0,0
14,0,104,72,0,0,0
15,0,106,40,0,0,0
16,0,66,85,0,0,0
17,0,93,144,0,0,0
18,0,103,115,0,0,0
19,0,131,130,0,0,0
20,0,125,125,0,0,0
21,0,101,162,0,0,0
22,0,108,136,0,0,0
23,0,103,202,0,0,0
24,0,73,239,0,0,0
25,0,57,256,0,0,0
26,0,72,237,0,0,0
27,0,53,300,0,0,0
28,0,52,319,0,0,276
29,0,75,477,0,0,1646
30,0,46,591,0,0,7289
31,0,53,708,0,0,90475
32,0,45,1053,0,0,181130
33,0,46,1170,0,0,225721
34,0,85,1764,0,0,337607
35,0,75,1699,0,0,462205
36,0,78,1966,0,0,512372
37,0,53,1999,0,0,578808
38,0,107,2205,0,331,760909
39,0,140,2639,0,690,1198944
40,140,175,3121,0,465,1875767
41,278,134,3363,0,295,3131399
42,373,158,4416,0,297,5561224
43,389,180,5714,0,366,6148210
44,548,418,6878,0,314,3807178
45,1204,1277,9714,0,259,1276763
46,2914,3234,12691,0,357,289062
47,7949,5120,19220,0,2366,46734
48,16108,8405,28001,0,11,8871
49,28795,15280,42483,0,0,1181
50,52450,27040,66688,0,0,274
51,88454,51264,102965,0,1149,101
52,147245,90612,154158,0,5183,189
53,213565,157198,227518,0,3987,186
54,313094,253547,329241,0,3680,1926
55,454574,385182,468786,0,8321,915
56,635895,571596,631144,0,37548,527
57,864355,800703,838796,0,104559,413
58,1117685,1094936,1089763,0,277649,388
59,1404006,1408232,1354823,585,664190,428
60,1692963,1726602,1616845,21607,1449768,461
61,1928543,2036601,1850611,345596,2533075,446
62,2104111,2276409,2044142,2770681,3702730,434
63,2202356,2416972,2146868,10147286,4436952,468
64,2209067,2417348,2151161,10196671,4599846,537
65,2102614,2289316,2080495,2655928,3782995,557
66,1901765,2048719,1944044,378323,2458278,570
67,1664080,1722433,1726513,17934,1319119,562
68,1402070,1383130,1467888,0,683378,347
69,1115856,1060569,1187170,0,286438,232
70,862854,771662,917391,0,109770,189
71,645445,544657,671894,0,33871,183
72,472431,371141,471954,0,11886,176
73,321028,238529,320610,0,7678,166
74,216970,148933,208598,0,2767,170
75,139335,90698,133357,0,2545,184
76,85225,51971,79223,0,1498,177
77,52658,31292,43618,0,0,177
78,31915,16235,25204,0,0,178
79,17549,6730,14387,0,0,172
80,8371,2642,7487,0,0,174
81,4445,1792,3821,0,0,199
82,1332,880,1381,0,0,627
83,717,665,512,0,0,1556
84,411,269,281,0,0,1450
85,232,87,76,0,0,2990
86,62,27,25,0,0,4546
87,34,7,9,0,0,3931
88,39,4,4,0,0,2071
89,33,7,21,0,0,909
90,40,9,13,0,0,497
91,3,3,19,0,0,157
92,0,11,8,0,0,0
93,0,3,7,0,0,0
94,0,8,9,0,0,0
95,0,4,13,0,0,0
96,0,5,8,0,0,0
97,0,4,11,0,0,0
98,0,5,2,0,0,0
99,0,6,9,0,0,0
100,0,3,6,0,0,0
101,0,4,10,0,0,0
102,0,10,8,0,0,0
103,0,2,4,0,0,0
104,0,0,6,0,0,0
105,0,0,4,0,0,0
106,0,0,4,0,0,0
107,0,0,5,0,0,0
108,0,0,8,0,0,0
109,0,0,5,0,0,0
110,0,0,6,0,0,0
111,0,0,6,0,0,0
112,0,0,13,0,0,0
113,0,0,6,0,0,0
114,0,0,12,0,0,0
115,0,0,22,0,0,0
116,0,0,5,0,0,0
117,0,0,5,0,0,0
118,0,0,10,0,0,0
119,0,0,4,0,0,0
120,0,0,4,0,0,0
121,0,0,3,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
