,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,0,3
2,0,0,0,0,0,8
3,0,0,0,0,0,6
4,0,0,0,0,0,4
5,0,0,0,0,0,3
6,0,0,0,0,2,5
7,0,0,0,0,14,10
8,0,0,0,0,34,46
9,0,0,0,0,64,20
10,0,0,0,0,56,13
11,0,0,0,0,83,13
12,0,0,0,0,94,14
13,0,0,0,0,91,13
14,0,0,0,0,70,18
15,0,0,0,0,25,15
16,0,0,0,0,74,14
17,0,0,0,0,62,15
18,0,0,0,0,49,16
19,0,0,0,0,71,14
20,0,0,0,0,39,27
21,0,0,0,0,20,66
22,0,0,0,0,9,125
23,0,0,0,0,8,175
24,0,0,0,0,9,187
25,0,0,0,0,15,261
26,0,0,0,0,15,252
27,0,0,0,0,20,340
28,0,0,0,0,13,391
29,0,0,0,0,27,403
30,0,0,0,0,37,338
31,0,0,0,0,36,396
32,0,0,97,0,24,619
33,0,0,127,0,92,566
34,0,0,200,0,167,631
35,0,0,151,0,175,683
36,0,0,119,0,241,707
37,0,0,2321,0,140,955
38,0,0,6093,0,162,1348
39,0,0,20345,0,184,1723
40,0,51,44374,0,232,2146
41,0,1791,76385,0,312,2204
42,0,2962,111484,0,244,2559
43,0,259,167477,0,199,3363
44,0,13,226485,0,247,4006
45,0,2164,318553,0,398,4878
46,0,5956,453190,62,503,6668
47,0,5432,739030,229,823,8218
48,0,9106,864689,584,1003,10741
49,0,11621,692749,1228,1748,14198
50,0,13086,439956,3010,2902,18457
51,0,13947,256163,6801,4986,23938
52,0,18988,136438,11812,9575,32813
53,0,27133,77089,21147,18000,44815
54,0,44389,48883,35579,30284,61072
55,0,76061,24370,57130,49538,83931
56,0,105202,15773,88800,78933,113813
57,0,142167,9570,131360,119542,150675
58,0,206558,6535,187011,177056,190448
59,0,242851,4534,253325,243219,238451
60,215,321292,1726,322077,317667,290147
61,38086,336813,1158,379589,390997,326481
62,341809,368200,826,428496,450158,354854
63,1994756,412232,1483,453075,489085,373542
64,1990623,427358,2569,450019,484076,375212
65,361211,395714,254,425241,450531,359193
66,32682,355366,233,377006,390764,332392
67,942,296335,373,317632,313483,295066
68,0,257043,1078,253138,237997,249800
69,0,192087,397,189979,173557,204348
70,0,145401,379,133395,118544,163284
71,0,88193,0,90288,77672,123670
72,0,71445,0,60612,48130,89474
73,0,54787,0,36465,29702,65437
74,0,29779,0,21876,17441,45917
75,0,24245,179,12140,11239,30830
76,0,17414,120,6478,6683,19206
77,0,7908,1334,2744,3674,12870
78,0,4848,3226,1091,2203,8645
79,0,2843,1442,463,1410,4926
80,0,2370,367,191,760,3152
81,0,3935,0,115,515,1791
82,0,7371,0,23,561,945
83,0,5474,0,12,552,452
84,0,2134,0,8,310,276
85,0,0,0,1,284,177
86,0,0,0,3,103,208
87,0,0,0,18,32,123
88,0,0,0,20,30,50
89,0,0,0,17,8,2
90,0,0,0,14,17,0
91,0,0,0,3,15,0
92,0,0,0,0,8,0
93,0,0,0,0,8,0
94,0,0,0,0,8,0
95,0,0,0,0,4,0
96,0,0,0,0,6,0
97,0,0,0,0,6,0
98,0,0,0,0,5,0
99,0,0,0,0,8,0
100,0,0,0,0,8,0
101,0,0,0,0,6,0
102,0,0,0,0,5,0
103,0,0,0,0,4,0
104,0,0,0,0,6,0
105,0,0,0,0,5,0
106,0,0,0,0,5,0
107,0,0,0,0,4,0
108,0,0,0,0,6,0
109,0,0,0,0,9,0
110,0,0,0,0,5,0
111,0,0,0,0,7,0
112,0,0,0,0,10,0
113,0,0,0,0,5,0
114,0,0,0,0,2,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,1,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
