,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,2
42,0,0,0,0,0,5
43,0,0,0,0,0,11
44,0,0,0,0,0,16
45,0,0,0,0,2,10
46,0,0,0,0,0,20
47,0,0,0,0,5,36
48,0,0,0,0,2,25
49,0,0,0,0,9,31
50,0,0,0,0,28,22
51,0,0,0,1,17,36
52,0,0,0,4,19,44
53,0,0,0,11,30,56
54,0,0,0,19,89,65
55,0,0,0,52,35,79
56,0,0,0,53,86,122
57,0,0,0,83,86,110
58,0,0,0,96,59,139
59,0,0,0,133,132,198
60,0,0,0,136,130,213
61,0,0,0,200,137,208
62,0,0,0,199,164,277
63,0,0,0,328,271,281
64,0,0,0,353,290,324
65,0,0,0,451,291,403
66,0,0,0,521,452,471
67,0,0,0,634,464,600
68,0,0,0,755,530,692
69,0,0,0,846,620,784
70,0,0,0,915,699,983
71,0,0,0,1027,949,1095
72,0,0,0,1183,1149,1349
73,0,0,0,1464,1325,1446
74,0,0,0,1588,1520,1620
75,0,0,0,1822,1703,1875
76,0,0,0,2025,2082,2185
77,0,0,0,2334,2452,2584
78,0,0,0,2809,2970,3067
79,0,0,0,3217,3303,3470
80,0,0,0,3907,3891,3963
81,0,0,0,4332,4595,4566
82,0,0,0,5148,5261,5471
83,0,0,0,5785,6053,6111
84,0,0,0,6663,6617,6756
85,0,0,0,7327,7408,7416
86,0,0,0,8400,8310,8544
87,0,0,0,9715,9360,9487
88,0,0,0,10574,10300,10803
89,0,0,0,11843,11630,12138
90,0,0,0,13579,12578,13636
91,0,0,0,14612,14205,14929
92,0,0,0,16122,15736,17015
93,0,0,0,18033,17816,18337
94,0,0,0,19855,19511,20729
95,0,0,0,22088,21972,23007
96,0,0,0,23983,23684,24867
97,0,0,0,26503,26371,27605
98,0,0,0,28607,29221,30420
99,0,0,0,31486,31813,33081
100,0,0,0,34201,33985,36256
101,0,0,0,36605,36419,38723
102,0,0,0,38927,39620,41934
103,0,0,0,41941,42309,44819
104,0,0,0,44959,45429,47505
105,0,0,0,47744,48600,50594
106,0,0,238,50421,51197,53521
107,0,0,1926,54284,54240,57456
108,0,0,13720,56689,56779,60881
109,0,0,51394,59503,60678,64313
110,0,0,158217,62792,62994,67011
111,0,0,341090,65691,65420,70096
112,0,0,534427,68893,69717,72797
113,0,0,688060,71387,71500,76057
114,0,0,741942,74712,75333,79006
115,0,0,660641,77210,77508,81488
116,0,0,519617,81222,80481,84585
117,0,115,371489,82981,83233,87436
118,0,3179,250474,84971,85395,89094
119,0,8290,136483,87772,87145,91517
120,826,21433,69650,90592,90445,93119
121,4594,49179,33411,91504,90977,95345
122,24334,99474,16887,93095,92910,97101
123,88394,193149,7396,94740,95128,97512
124,224138,290211,2868,95798,95298,98748
125,440689,422876,776,98362,97290,99071
126,677548,551589,367,98708,97675,99913
127,825750,616110,0,98065,97938,99698
128,839578,620942,0,98008,97512,99168
129,672414,562241,0,98614,98073,98748
130,451946,440837,0,96868,96824,98112
131,231361,318910,0,97096,96705,97409
132,87144,195685,0,95794,95647,95520
133,27252,114392,0,94719,94312,94596
134,4726,53035,0,93231,92458,93285
135,379,24374,0,90318,90675,92089
136,0,11417,0,89183,87630,89424
137,0,2613,0,87577,86043,86954
138,0,806,0,84152,83691,84392
139,0,216,0,81819,81079,81086
140,0,0,0,78714,79032,78112
141,0,0,0,76238,76820,74322
142,0,0,0,73181,73403,70841
143,0,0,0,69899,71414,67342
144,0,0,0,67225,68027,64310
145,0,0,0,63689,64337,60465
146,0,0,0,61302,61414,57134
147,0,0,0,57782,57832,54065
148,0,0,0,54051,54843,50871
149,0,0,0,50996,51081,47031
150,0,0,0,48074,48007,43993
151,0,0,0,45186,44813,40379
152,0,0,0,41504,41438,37834
153,0,0,0,38668,39055,34732
154,0,0,0,35915,35901,32022
155,0,0,0,33556,32769,29178
156,0,0,0,30551,31003,26598
157,0,0,0,28148,28495,24621
158,0,0,0,25552,25816,22540
159,0,0,0,23335,23704,20158
160,0,0,0,21220,21564,17953
161,0,0,0,19445,19646,16318
162,0,0,0,17219,17154,15136
163,0,0,0,15981,16185,13536
164,0,0,0,14299,14531,11996
165,0,0,0,13224,12942,10776
166,0,0,0,11515,11572,9183
167,0,0,0,10078,10105,8132
168,0,0,0,9059,9246,7024
169,0,0,0,8177,8053,5979
170,0,0,0,7302,7216,5517
171,0,0,0,6348,6434,4615
172,0,0,0,5631,5927,3958
173,0,0,0,4942,5013,3447
174,0,0,0,4191,4424,3175
175,0,0,0,3641,4051,2813
176,0,0,0,3330,3519,2351
177,0,0,0,2976,3068,1970
178,0,0,0,2541,2618,1778
179,0,0,0,2112,2148,1449
