,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,18,0,0
6,0,0,0,17,0,0
7,0,0,0,16,0,0
8,0,0,0,99,111,0
9,0,0,0,72,146,0
10,0,0,0,169,83,0
11,0,0,0,369,362,0
12,0,0,0,213,231,0
13,0,0,0,205,291,0
14,0,0,0,176,529,0
15,0,0,0,221,762,0
16,0,0,0,417,1365,0
17,0,0,0,710,1865,0
18,0,0,0,1773,2409,0
19,0,0,0,2319,3427,0
20,0,0,0,2191,3836,30
21,0,0,0,2630,3709,3462
22,0,0,0,3562,4314,70191
23,0,0,0,4024,5601,372612
24,0,0,0,6435,7424,936769
25,0,0,0,6744,9557,1537126
26,0,0,0,9282,11436,1955934
27,0,0,0,11738,13153,2127141
28,0,0,0,12604,15484,2071468
29,0,0,0,17510,17907,1844450
30,0,0,0,20445,21535,1583016
31,0,0,0,24303,25480,1283881
32,0,0,0,30090,32162,1016381
33,0,0,0,34880,35829,785633
34,0,65,0,43190,45635,602955
35,17,20,0,52037,54154,454636
36,67,29,0,64047,66040,333768
37,113,166,7,71451,74491,247854
38,548,261,80,86279,86015,178284
39,588,796,185,103300,100326,123165
40,650,981,436,112960,116269,89210
41,1401,1410,844,128457,127167,63506
42,2451,2355,1398,143378,145975,47019
43,5334,4365,2458,160321,159929,32806
44,7995,7393,4312,181744,176607,24404
45,15921,12623,7110,200559,192200,16286
46,24038,21708,11644,216637,228469,12154
47,34171,34303,19576,244048,245573,8926
48,55384,52565,30964,275223,274544,7232
49,78438,80004,47981,298509,296090,4264
50,111326,108117,73962,323529,330026,2341
51,154689,152027,107062,344672,352995,1165
52,209365,207484,153804,366797,379062,914
53,281989,276601,212741,387824,395361,1009
54,354545,356150,287823,414228,414926,751
55,454957,457256,381359,432001,428816,188
56,550934,557406,498693,452052,449424,297
57,658479,669817,628009,472026,475801,231
58,770593,781333,763455,482402,481226,186
59,869076,878251,907430,504481,498015,100
60,979937,974868,1034170,518153,512672,102
61,1049260,1056756,1152974,529868,534555,0
62,1086973,1118120,1233151,536256,551060,0
63,1136238,1135757,1280735,526661,548670,0
64,1123530,1132621,1297701,531324,556207,0
65,1097352,1101942,1261406,519371,537352,0
66,1049670,1044014,1178171,520384,524359,0
67,987561,976545,1069904,519199,513388,0
68,879861,884113,939910,511496,501140,0
69,786797,782675,791097,501575,493568,0
70,669740,658475,646347,479436,475668,0
71,553693,550904,510537,449329,463472,0
72,453526,447765,389495,429087,441759,0
73,357490,352718,288586,413094,417728,0
74,282769,278046,209227,392502,386467,0
75,211552,204537,145703,367802,359242,0
76,152911,150383,98646,339598,337135,0
77,110246,109442,65659,325292,323370,0
78,78944,76459,43135,298962,299446,0
79,53721,49817,26843,277445,267346,0
80,34239,34421,16000,258301,247683,0
81,24877,22533,9242,230662,215013,0
82,16374,15181,5306,209967,192629,0
83,10024,8477,3028,190204,176523,0
84,5664,5526,1731,169916,156169,0
85,2012,3036,970,155440,140070,0
86,1622,1394,434,132780,124560,0
87,806,816,235,118074,108938,0
88,472,449,119,102576,97647,0
89,352,365,41,84533,84606,0
90,350,111,11,73800,72530,0
91,153,71,0,60717,62842,0
92,62,24,0,52488,52811,0
93,0,0,0,44227,44490,0
94,0,0,0,37132,37914,0
95,0,0,0,32894,32480,0
96,0,0,0,27574,25470,0
97,0,0,0,24439,22695,0
98,0,0,0,18803,18627,0
99,0,0,0,15795,13592,0
100,0,0,0,12058,10583,0
101,0,0,0,10005,9125,0
102,0,0,0,7972,7598,0
103,0,0,0,6720,6228,0
104,0,0,0,6316,5336,0
105,0,0,0,3937,4367,0
106,0,0,0,2655,3132,0
107,0,0,0,2136,2200,0
108,0,0,0,1489,1629,0
109,0,0,0,1563,1474,0
110,0,0,0,1150,1305,0
111,0,0,0,870,1082,0
112,0,0,0,466,590,0
113,0,0,0,511,313,0
114,0,0,0,458,285,0
115,0,0,0,523,187,0
116,0,0,0,169,101,0
117,0,0,0,78,224,0
118,0,0,0,184,51,0
119,0,0,0,47,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
