,vx,vy,vz,x,y,z
0,6,0,1,0,0,0
1,18,0,12,0,0,0
2,54,22,19,0,0,0
3,44,22,40,0,0,0
4,92,79,43,0,0,0
5,106,96,48,0,0,0
6,98,208,77,0,0,0
7,285,139,108,0,0,0
8,267,292,137,0,0,0
9,308,420,155,0,0,0
10,333,470,239,0,0,0
11,490,470,319,0,0,0
12,648,608,365,0,0,0
13,829,818,504,0,0,0
14,848,1065,669,0,0,0
15,984,1042,686,0,0,0
16,1500,1535,849,0,0,0
17,1613,1833,1079,0,0,0
18,2373,2321,1319,0,0,0
19,2655,2096,1653,0,0,0
20,2903,3184,2066,0,0,0
21,3138,3612,2386,0,0,0
22,3962,3752,2688,0,0,0
23,4766,4516,3188,0,0,0
24,5345,5456,3774,41,12,0
25,6537,6671,4486,33,61,0
26,7144,7245,5169,64,88,0
27,8690,8031,6092,76,120,0
28,9132,9799,7078,68,220,0
29,10913,11149,8058,58,308,0
30,12449,12950,9065,376,448,0
31,14132,13712,10488,833,646,0
32,16206,16375,11974,1198,1158,0
33,18250,17554,13814,1746,2157,0
34,20691,19708,15515,2849,2770,0
35,23221,22784,17623,4187,3925,0
36,25998,24892,20030,5307,5597,0
37,28404,29270,22622,7131,7288,0
38,32181,29594,25629,8368,8815,22
39,35466,34010,28830,11487,11244,805
40,38908,36040,32438,15029,14679,5247
41,41786,40685,36073,18467,18204,22152
42,46796,43097,39031,23440,22023,58849
43,50865,47246,42703,27172,26443,111912
44,52784,52532,46495,31116,31085,180960
45,56628,54796,51140,36453,38836,244370
46,61692,59991,55331,42143,44031,299823
47,64424,65945,60542,50077,50630,331874
48,68879,69937,66089,58546,57616,348631
49,72142,72042,71757,68021,67131,347100
50,77474,77627,77529,75224,75157,337780
51,80433,81881,82330,85713,86452,315342
52,83526,84912,86743,90945,93529,291477
53,88623,88638,91924,102331,104330,255308
54,92321,93380,95837,109098,110795,224083
55,96049,94820,98599,119392,120486,190573
56,96965,100385,102777,130064,131245,162260
57,98127,101726,106968,136645,136922,137615
58,100726,104077,110066,145751,145862,112077
59,102146,105065,113592,152658,148999,88500
60,104279,106444,116790,154770,157242,73960
61,105321,108138,118611,159585,162850,59193
62,105825,109004,119942,157477,162820,46287
63,108621,106739,120681,158279,164209,34743
64,104855,109312,120292,161624,164245,28860
65,106299,109217,120186,162059,164021,23601
66,105870,106858,119502,160123,158842,17390
67,105277,104681,118090,154682,153638,13103
68,103512,106263,115061,149726,149063,9800
69,102577,100746,112822,145752,141277,7715
70,98269,99236,110251,139270,132847,4983
71,97437,98252,106699,130801,127406,3760
72,95001,93601,102830,121628,116668,2816
73,90410,89497,99178,111573,109539,1918
74,88795,86929,95344,99309,99696,1261
75,84024,83056,91321,91284,91488,614
76,81978,79646,87285,85234,83734,462
77,77213,77190,82593,77827,75524,300
78,74331,71963,77216,66287,66383,64
79,68904,68204,71757,59433,60325,50
80,66113,64333,66053,51210,54012,0
81,62506,60985,60919,43146,43365,0
82,57914,57710,56148,37452,36674,0
83,53258,52794,50751,32718,30870,0
84,50654,49384,45903,26357,26300,0
85,44492,44489,41507,21501,22627,0
86,40573,41569,37146,17484,18963,0
87,38325,37870,33467,14145,13730,0
88,35163,35267,29243,11210,10461,0
89,31584,32041,25588,8926,8240,0
90,29111,29626,22462,7033,6513,0
91,25809,26336,19703,5086,4526,0
92,22996,22918,17006,4351,3110,0
93,20173,20594,14570,3217,2577,0
94,19361,18004,12340,1788,1626,0
95,16146,15284,10457,1228,1158,0
96,14096,13652,8592,921,613,0
97,12433,12038,7615,559,557,0
98,11212,11416,6474,223,305,0
99,9689,9503,5296,198,145,0
100,8327,8317,4398,57,41,0
101,7628,7339,3595,0,42,0
102,5866,6263,3064,0,26,0
103,5295,5203,2479,0,30,0
104,4289,4881,1895,0,0,0
105,4043,4051,1573,0,0,0
106,2902,3246,1319,0,0,0
107,2885,2961,1030,0,0,0
108,2047,2291,844,0,0,0
109,2028,1984,651,0,0,0
110,1562,1736,486,0,0,0
111,1438,1300,376,0,0,0
112,1018,1062,280,0,0,0
113,720,645,200,0,0,0
114,733,653,173,0,0,0
115,531,526,175,0,0,0
116,362,481,144,0,0,0
117,367,321,111,0,0,0
118,170,269,71,0,0,0
119,216,181,66,0,0,0
120,166,138,51,0,0,0
121,88,97,37,0,0,0
122,44,126,39,0,0,0
123,49,39,15,0,0,0
124,40,40,3,0,0,0
125,20,68,2,0,0,0
126,7,0,0,0,0,0
127,9,0,0,0,0,0
