,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,77,0
12,0,0,0,124,90,0
13,0,0,0,298,84,0
14,0,0,0,302,50,0
15,0,0,0,215,143,0
16,0,0,0,147,121,0
17,0,0,0,123,235,0
18,0,0,0,120,152,0
19,0,0,0,363,290,0
20,0,0,0,475,552,0
21,0,0,0,691,958,0
22,0,0,0,1091,1107,0
23,0,0,0,1444,1760,0
24,0,0,0,1969,2574,0
25,0,0,0,3278,3704,0
26,0,0,0,4507,5321,0
27,0,0,0,5556,7422,0
28,0,0,0,8748,9113,1060
29,0,0,0,9693,10787,30395
30,0,0,0,13246,13187,235814
31,0,0,0,15033,13537,756840
32,0,0,0,18600,17105,1412824
33,6,0,1,21912,21850,1952664
34,0,0,28,27967,27208,2224944
35,39,10,21,36388,35864,2239097
36,194,42,104,42622,45572,2050539
37,188,62,145,50751,52559,1775211
38,254,458,240,65922,63939,1476215
39,697,517,427,74913,74222,1171368
40,1208,1063,732,87670,92889,897423
41,2146,2561,1054,102225,107751,686874
42,3280,2618,1858,114866,125954,519225
43,6638,5179,3382,133325,146651,387731
44,9936,8508,5373,156070,161051,282483
45,16523,14537,8649,178590,187826,206575
46,23277,21256,14436,209828,219285,150566
47,39477,34488,22598,239217,246472,113227
48,55100,52726,35045,270713,275469,83710
49,84441,77194,53100,304086,299522,57498
50,117750,118624,78854,328695,326682,40818
51,164041,161852,114019,360612,360093,29555
52,223139,224297,162114,391224,387250,21799
53,298894,294007,225034,422552,417285,15270
54,382760,381423,306977,452159,448514,11050
55,481806,479701,407557,483873,488972,8062
56,585418,585472,526807,523330,517554,6676
57,698054,694129,667303,538574,544930,4953
58,818573,812420,810215,568136,569748,3482
59,917804,937525,957352,581574,592169,2028
60,1036209,1040491,1096201,593900,608413,1434
61,1112858,1118659,1212507,603305,620289,1490
62,1159450,1173568,1306349,617905,628014,1037
63,1184584,1196134,1351663,621952,639471,614
64,1185529,1187955,1353982,620873,644169,291
65,1167752,1175988,1314443,624215,638114,337
66,1109197,1108255,1233760,630009,621740,96
67,1036286,1029342,1123838,617499,604772,125
68,928544,931873,989301,586371,601216,139
69,824106,805872,843128,573476,578185,46
70,705184,704425,690263,563626,553602,50
71,585403,586238,545545,528581,536938,74
72,479440,478202,416143,493233,506699,143
73,379162,382863,308828,464890,468682,34
74,289769,294113,222413,437305,430613,0
75,224861,220513,157236,408540,396094,0
76,165969,162404,105575,375581,354960,0
77,122109,116888,69402,344263,321828,0
78,80520,80202,45590,309389,295100,0
79,54344,55828,28543,282004,258473,0
80,38068,37628,18193,249570,233083,0
81,23656,24355,11223,220445,208081,0
82,15728,14788,6635,194445,180564,0
83,9452,9696,3614,167189,156532,0
84,5449,6423,1819,146779,137537,0
85,2813,4097,1023,130498,116156,0
86,1415,2117,532,114245,100491,0
87,995,1162,270,91186,87176,0
88,483,706,172,76895,74274,0
89,211,199,91,62860,65849,0
90,240,124,62,57002,53861,0
91,357,60,61,41189,45170,0
92,58,49,37,33477,39042,0
93,42,0,15,25218,30404,0
94,0,0,4,20219,23875,0
95,0,0,0,16782,17136,0
96,0,0,0,13034,13958,0
97,0,0,0,10166,10503,0
98,0,0,0,8068,8205,0
99,0,0,0,6698,7055,0
100,0,0,0,6198,4562,0
101,0,0,0,4824,3941,0
102,0,0,0,4234,3751,0
103,0,0,0,3021,2576,0
104,0,0,0,1913,1240,0
105,0,0,0,949,878,0
106,0,0,0,874,702,0
107,0,0,0,621,930,0
108,0,0,0,440,638,0
109,0,0,0,492,454,0
110,0,0,0,609,60,0
111,0,0,0,336,55,0
112,0,0,0,110,125,0
113,0,0,0,174,0,0
114,0,0,0,59,0,0
115,0,0,0,55,0,0
116,0,0,0,62,0,0
117,0,0,0,192,0,0
118,0,0,0,24,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
