,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,21,0,0
18,0,0,0,82,0,0
19,0,0,0,100,0,0
20,0,0,0,69,0,0
21,0,0,0,57,0,0
22,0,0,0,225,0,0
23,0,0,0,147,62,0
24,0,0,0,108,301,0
25,0,0,0,157,462,0
26,0,0,0,506,474,0
27,0,0,0,725,743,0
28,0,0,0,1160,1324,0
29,0,0,0,1425,1514,0
30,0,0,0,2042,2452,0
31,0,0,0,3010,3379,0
32,0,0,0,4393,4657,0
33,0,49,0,6859,8133,0
34,1,43,0,9362,10061,0
35,47,20,2,12808,12426,0
36,125,146,20,16568,16457,45
37,396,66,134,22967,23021,11055
38,310,231,216,28952,29140,129991
39,669,620,269,37128,37872,543637
40,1223,1011,514,47147,45283,1201419
41,1699,1729,1007,61594,56978,1795516
42,3344,3148,1747,75703,74620,2133587
43,4816,5946,2986,94869,90994,2210167
44,9055,9943,5067,109075,111332,2069842
45,14567,15879,9036,135690,138267,1780488
46,24527,24329,13951,159375,165056,1471634
47,35858,38199,21282,181726,193534,1182468
48,55062,57614,33265,215912,225243,935096
49,85289,82569,51074,254401,252247,709033
50,115036,115563,75666,289753,287618,526750
51,157388,160442,109305,329051,324886,392828
52,213453,220353,156340,371293,375531,288286
53,289599,290909,216211,406165,410346,216459
54,375715,369894,293529,454931,459983,154744
55,461005,455257,390413,505104,509904,109042
56,570271,565174,504120,545957,538867,78737
57,678407,665526,632195,578703,573955,54992
58,778213,778604,773628,613525,615842,41210
59,891626,890801,920877,642816,662823,29699
60,975802,982760,1056643,669486,694602,20107
61,1053588,1062104,1171258,688553,703451,12900
62,1112841,1108839,1257248,713246,708207,8755
63,1143804,1134875,1307072,723125,729447,6001
64,1135498,1151833,1313559,726713,728384,4336
65,1110784,1131109,1271932,724471,720335,3225
66,1053720,1073651,1191562,704855,698343,2954
67,988886,990347,1080866,682743,679428,1709
68,898032,898618,948943,666076,636446,1728
69,792424,785620,802181,625557,616681,1423
70,680943,674809,653359,574075,587932,952
71,564124,556888,519367,542900,554271,409
72,458690,455019,396595,501596,504325,117
73,370096,365576,296854,460679,464311,118
74,288458,287313,215573,416454,412114,182
75,221100,213766,153218,377352,368223,40
76,158423,156537,104803,331607,329079,50
77,116721,114471,67206,295700,290019,82
78,82703,78919,43363,257333,251274,0
79,57857,55209,27646,213739,213999,0
80,36340,36406,17189,186688,184206,0
81,23334,23272,9866,157982,147351,0
82,16816,14860,5482,133439,126179,0
83,9412,9440,3231,111129,102788,0
84,5972,6558,1870,97573,87610,0
85,3143,4752,1023,75682,73498,0
86,1937,2025,483,59750,58304,0
87,1303,1068,250,47357,45268,0
88,656,609,144,37913,35621,0
89,411,206,73,28677,29311,0
90,125,229,74,21864,20880,0
91,140,52,26,14415,15662,0
92,15,8,0,10251,13089,0
93,14,0,0,8866,9655,0
94,0,0,0,6429,7858,0
95,0,0,0,5741,5582,0
96,0,0,0,3171,3341,0
97,0,0,0,2970,2414,0
98,0,0,0,1587,2150,0
99,0,0,0,930,2347,0
100,0,0,0,787,1132,0
101,0,0,0,218,387,0
102,0,0,0,102,258,0
103,0,0,0,38,70,0
104,0,0,0,48,106,0
105,0,0,0,59,88,0
106,0,0,0,226,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
