s,N (1e3),sx (um),sy (um),mx (px),my (px),T (uK)
16.97645,1339.27564,213.26054,235.59649,851.47214,591.52489,1.33623
19.43502,1357.01029,216.20668,240.62378,853.89903,592.41765,1.38465
22.07388,1371.29582,219.71734,240.42599,852.94375,593.14221,1.40364
24.89552,1546.47129,229.06343,247.85176,853.80142,593.12148,1.50712
27.90223,1697.81684,231.57523,256.4392,853.88639,592.73465,1.57973
31.09608,1789.14648,244.58727,265.1977,850.90874,592.81154,1.72217
34.47893,1775.88939,245.50126,272.65728,855.64687,592.41004,1.78118
38.0524,1854.23966,249.70657,272.58884,852.51097,592.64548,1.80824
41.81795,1777.40593,253.50137,269.10531,851.0006,593.26672,1.80854
45.77681,1398.15461,237.76091,275.87432,852.62317,593.56565,1.75504
49.93001,1949.42697,262.13672,283.96169,850.25329,592.55926,1.97618
54.27839,1867.27225,280.38287,313.17777,849.7433,593.14711,2.33801
58.82261,1844.85982,292.9512,308.60771,848.68811,593.49241,2.39575
63.56311,1979.25833,272.50989,301.52749,850.56144,593.0546,2.18565
68.50017,2091.47546,290.51673,304.88921,847.67307,593.45456,2.34677
73.63388,2198.39311,297.02343,314.96109,846.69485,593.30304,2.47996
78.96416,2026.0195,295.17399,321.59166,847.40485,593.31001,2.52132
84.49075,2050.66397,307.15922,329.94277,847.2465,594.20058,2.68884
90.2132,2010.26725,306.95657,346.38932,848.2246,594.19009,2.83437
96.13093,2182.80509,324.30632,345.31196,846.49348,594.09184,2.96943
102.24316,2267.08776,321.59749,346.1104,847.35627,594.23189,2.95359
108.54897,2054.11001,317.59201,344.08643,847.31871,595.46183,2.90122
115.04727,2212.7084,341.91213,356.01164,843.77179,595.37556,3.22392
121.73683,2187.74514,331.90487,373.14485,844.58408,594.83776,3.3
128.61626,2261.15274,331.99751,382.08898,843.67716,595.27735,3.3902
135.68403,2103.33023,340.63558,383.05612,845.25057,595.61447,3.47687
142.93845,2206.27474,355.84739,372.25927,842.40183,595.86374,3.50915
150.37771,2281.48816,357.15374,388.79627,843.12246,595.73829,3.68801
157.99986,2239.9581,364.74229,397.52832,843.51352,596.21077,3.85135
165.8028,2135.82784,356.46037,399.73056,842.49836,595.54381,3.79555
173.78433,2142.13673,375.7087,409.9734,842.62969,595.94162,4.09176
181.94209,2190.626,363.28152,415.55641,841.23005,595.95188,4.03123
190.27363,2084.21174,375.46149,400.15385,841.58031,597.30447,3.98405
198.77635,2207.49428,379.4792,411.40787,840.4741,596.43206,4.14503
207.44757,2151.21958,389.40623,444.45635,841.05596,596.96495,4.62029
