Frequência (mhz);Numero de átomos x10^3;sx (um);sy (um);mx (px);my(px);Temperature (uK)
2,2;8191,39864;396,63497;497,67342;895,98443;599,14899;5,35889
2,21;7748,16588;392,12982;489,35848;893,15655;598,71451;5,20327
2,22;7914,16972;412,46927;500,63052;896,82925;598,00379;5,56747
2,23;8225,11769;411,84774;513,58154;891,69709;597,68923;5,73449
2,24;8482,73195;415,78598;507,89034;888,32378;596,80559;5,7007
2,25;8076,11905;401,09788;495,48911;888,82172;596,3758;5,37729
2,26;8277,61027;402,50693;480,23993;886,53173;597,78661;5,1954
2,27;8007,90395;387,20863;472,70507;884,34813;596,82797;4,94053
2,28;8042,81354;403,63276;481,03174;886,37863;596,86287;5,21748
2,29;7995,04734;416,95051;486,05643;883,38749;595,93562;5,42638
2,3;8259,95541;412,28019;485,48215;879,94393;596,51956;5,36775
2,31;8085,11092;412,20976;485,11326;875,5859;593,72521;5,36224
2,32;8612,4666;413,26609;479,18547;878,53374;595,01123;5,29815
2,33;8486,37017;406,94027;472,17203;873,10233;593,80584;5,14121
2,34;8465,40147;403,82504;470,32932;872,67383;593,27993;5,08481
2,35;7275,50721;413,60676;473,67051;871,07654;594,28883;5,23234
2,36;8677,03727;417,35655;465,59167;871,30793;594,10058;5,17317
2,37;8314,40725;405,2612;451,84534;867,72065;593,70741;4,87464
2,38;8443,44363;404,96165;450,69424;867,71903;594,06825;4,85768
2,39;8840,91038;401,48936;450,39984;865,71921;593,03859;4,81712
2,4;8252,84135;403,59096;439,81941;865,11415;593,8924;4,71487
2,41;7506,7345;404,65376;449,48516;865,69664;593,49434;4,83998
2,42;7876,39191;405,87741;439,99249;861,26464;594,74611;4,74138
2,43;8179,97252;406,21913;434,63446;857,80845;594,60583;4,68304
2,44;7637,83903;403,15159;430,32183;855,07505;594,42545;4,60083
2,45;8467,00631;402,92946;427,26529;854,53486;595,57014;4,56378
2,46;7764,82317;399,72857;429,60395;853,14431;595,4739;4,5563
2,47;8203,1219;411,06425;442,0022;855,5349;595,95635;4,8209
