,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,5,0,0,0
10,0,38,6,0,0,0
11,0,0,7,0,0,0
12,3,12,10,0,0,0
13,8,32,4,0,0,0
14,0,22,4,0,0,0
15,18,58,9,0,0,0
16,17,45,28,0,0,0
17,16,71,27,0,0,0
18,82,210,38,42,0,0
19,90,300,37,24,0,0
20,200,194,61,25,0,0
21,342,204,80,21,0,0
22,341,254,110,21,0,0
23,363,509,160,24,67,0
24,609,496,225,45,203,0
25,803,882,327,82,153,0
26,916,911,481,224,209,0
27,1593,1309,630,166,330,0
28,1690,1924,869,259,319,0
29,2750,2048,1165,265,429,0
30,3094,3139,1528,421,406,0
31,3598,3896,2021,824,890,0
32,5002,5116,2577,1205,1229,0
33,6770,5987,3308,1665,1624,0
34,7691,7929,4470,2092,2884,0
35,9682,11312,5847,2873,3575,0
36,12760,12876,7431,4117,5045,850
37,15318,15262,9312,5125,6689,34476
38,17940,17600,11557,6871,7830,234364
39,22850,23936,14791,9639,9406,578034
40,26248,26537,18535,12857,12564,871422
41,34383,31743,23174,16626,16272,973031
42,38667,39565,28211,20958,21478,925808
43,44092,45437,34307,25858,27681,793613
44,54806,54120,40758,32188,34521,629547
45,62037,60403,48397,42901,43519,485614
46,69156,73506,57565,50718,50708,365964
47,84008,80464,68486,60221,63767,261645
48,93967,92879,79948,74506,76893,185091
49,102616,102989,92928,84433,88698,126374
50,117143,114988,106184,96478,101115,89518
51,129424,128260,121285,114862,118086,57337
52,139781,139247,136584,129506,136381,40165
53,156344,156883,152301,147875,154854,27663
54,167858,166347,167614,168420,171681,17486
55,180031,181046,183373,187736,183757,11257
56,191523,193649,198932,205480,204552,6702
57,202311,202601,213815,222232,221737,4373
58,210058,211719,228917,242216,239292,3262
59,219231,220218,241403,250805,252833,2201
60,225294,224596,251804,263552,264253,1719
61,231874,230965,259858,271153,270358,987
62,229633,236701,265293,282682,278806,540
63,238853,232146,267369,285282,282351,402
64,236158,228403,268397,288524,280767,356
65,234553,231659,265265,284780,275000,147
66,229576,233150,260130,272392,265571,0
67,223370,225698,252184,267777,261570,0
68,220163,217547,241806,257126,253272,0
69,212064,210139,230519,244879,240994,0
70,203656,204696,218206,225931,225857,0
71,191820,192358,203173,203482,205730,0
72,178533,180555,186999,189432,190138,0
73,168740,167934,170527,174669,173657,0
74,156543,154581,153694,157713,158047,0
75,141660,141425,137637,139029,136595,0
76,127031,130306,121987,120878,118527,0
77,118198,118223,107728,104811,103686,0
78,103612,105208,94030,90899,89307,0
79,93069,93636,81208,74555,76870,0
80,81267,82258,69034,61553,65533,0
81,70822,72478,58996,51922,52282,0
82,61742,61437,49562,43441,41763,0
83,51714,53143,41504,34123,34197,0
84,44757,44738,34104,26169,27700,0
85,38818,40168,27879,21825,22474,0
86,33386,33051,22221,17824,17109,0
87,26694,26730,17756,14256,13772,0
88,22450,22591,14122,10432,10053,0
89,19328,18912,11238,7301,8967,0
90,15615,15389,8824,5057,6626,0
91,13449,12712,6620,4157,4800,0
92,9932,9301,5166,2727,3778,0
93,7721,7969,4019,2375,2620,0
94,6272,5872,3136,1286,1943,0
95,5289,5747,2298,956,1208,0
96,4159,4244,1559,637,649,0
97,3360,3420,1208,562,358,0
98,3077,2590,868,181,316,0
99,1777,1837,621,201,218,0
100,1323,1769,461,192,221,0
101,909,1349,330,45,244,0
102,1022,1050,225,52,84,0
103,677,506,161,50,0,0
104,380,632,117,103,0,0
105,376,373,87,30,0,0
106,211,264,65,39,0,0
107,324,167,43,0,0,0
108,167,81,30,0,0,0
109,163,70,15,0,0,0
110,45,1,10,0,0,0
111,9,0,6,0,0,0
112,54,0,3,0,0,0
113,8,0,4,0,0,0
114,10,0,0,0,0,0
115,6,0,0,0,0,0
116,4,0,0,0,0,0
117,0,0,0,0,0,0
118,1,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
