,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,21,0
28,0,0,0,0,139,0
29,0,0,0,333,142,0
30,0,0,0,968,440,0
31,0,0,0,1135,1302,0
32,0,0,7,1564,2062,0
33,0,0,4,2480,3172,0
34,48,20,18,4454,5247,0
35,119,57,54,6977,7483,0
36,337,82,101,9435,9260,0
37,291,168,175,13167,13419,0
38,594,456,236,19807,18767,0
39,854,474,429,23752,25934,965
40,1550,787,703,29855,33176,27851
41,3068,2027,1259,40257,43381,223296
42,3645,3665,2006,53573,53943,708546
43,6416,5646,3127,65232,71399,1358221
44,9671,8643,5161,83343,89292,1868669
45,14700,13480,8495,103596,111569,2123111
46,23814,23146,13468,130152,131159,2107778
47,34984,34292,20934,158857,165217,1906393
48,53034,54810,32522,187674,195768,1658469
49,78823,80897,49532,231775,233556,1349496
50,116224,111454,74709,270052,272632,1060223
51,150241,161553,109143,311689,310402,820544
52,205764,212965,155037,357343,351189,634692
53,274733,281498,217098,405004,397890,475159
54,355081,355154,296066,457339,447319,352202
55,445461,452956,389221,491928,498410,254057
56,544962,558123,497002,534648,537433,187257
57,653225,646664,620369,588252,582609,133717
58,754469,762705,753260,622177,622951,92222
59,861167,861110,884473,651402,660854,63160
60,948071,944731,1007514,690004,701348,44862
61,1025043,1023902,1112026,708566,716095,31807
62,1078447,1060013,1196689,724340,728420,19925
63,1106840,1111609,1247476,745002,734623,15547
64,1110217,1100420,1257906,748676,738668,11620
65,1076438,1073871,1223907,744346,731531,6616
66,1035909,1026273,1153430,726406,721972,4385
67,960547,941716,1046615,699713,686190,3456
68,869763,857236,919519,679486,650607,2660
69,770578,758553,779910,632403,621522,1452
70,657013,649717,640830,589010,587718,1181
71,552520,549950,507698,540874,535438,635
72,443285,454115,390678,502871,485560,492
73,358693,363821,290262,463863,451246,263
74,274067,287625,209970,403661,401866,293
75,209998,218342,148587,354475,359086,286
76,153216,154622,102754,309647,320530,247
77,107240,116898,68575,265579,280416,0
78,73145,79150,44139,228957,237057,0
79,51991,51359,27553,188640,198618,0
80,35156,36125,17591,155655,163334,0
81,22209,22790,10499,133034,133424,0
82,15596,14718,6168,106548,107527,0
83,9409,8762,3354,85484,87885,0
84,6342,5069,1940,65209,71538,0
85,2740,3602,796,52644,51609,0
86,1806,1990,390,38998,42727,0
87,1061,1140,218,31246,32306,0
88,560,446,72,24463,23491,0
89,401,237,47,17536,16390,0
90,56,40,33,11872,11634,0
91,74,26,0,7023,8011,0
92,20,18,0,5585,4796,0
93,0,22,0,4417,3809,0
94,29,10,0,2368,2660,0
95,0,5,0,2132,1735,0
96,0,0,0,1154,1321,0
97,0,0,0,937,909,0
98,0,0,0,149,457,0
99,0,0,0,167,144,0
100,0,0,0,171,0,0
101,0,0,0,178,0,0
102,0,0,0,46,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
