,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,4,0,0,0
19,1,3,17,0,0,0
20,16,29,3,0,0,0
21,48,32,28,0,0,0
22,67,34,55,0,0,0
23,152,54,146,0,0,0
24,173,45,131,0,0,0
25,258,55,150,0,0,0
26,268,147,275,0,0,0
27,452,501,310,0,0,0
28,514,454,617,53,149,0
29,642,620,921,81,99,0
30,1167,1112,1029,215,363,0
31,1440,1485,1799,368,800,0
32,2451,2417,2537,802,1142,0
33,3473,3544,3353,1379,1892,0
34,4446,4976,4812,1842,2812,0
35,6607,6394,6428,3640,4732,0
36,9013,9062,9109,7547,6132,0
37,12971,13278,11399,11069,10365,0
38,17095,17302,16096,14442,15738,0
39,23780,23082,22270,21420,22568,0
40,29947,30218,28650,29563,30833,218
41,39742,41122,37022,38527,42128,1290
42,50856,51053,48710,51579,55602,6901
43,65368,67138,63065,65736,72664,24708
44,82278,82569,78989,85253,89139,68393
45,103133,103717,97715,107907,113348,149500
46,123226,129126,119713,134058,140759,267720
47,152979,153772,146883,166112,172061,413197
48,185599,189218,174610,197165,199894,586366
49,222341,223298,208739,238086,234586,755170
50,261684,263448,247303,279817,274000,898929
51,297579,304676,284768,325024,317140,1015969
52,344826,349110,328057,366039,361658,1102139
53,391907,395530,375743,412475,403006,1153915
54,442833,442790,422946,454306,446919,1168882
55,492613,490213,473598,498243,486358,1143628
56,536023,530941,524400,534650,520465,1101381
57,581608,574312,572981,577110,575649,1033785
58,612381,616784,614919,616122,613458,955954
59,658700,653324,654615,650307,646193,866078
60,688761,687655,691755,673049,678413,789374
61,710522,709692,722178,687779,701247,687187
62,721396,723944,742550,711985,704696,599451
63,735267,730260,755885,717294,710799,509259
64,733530,732613,760312,708007,710943,429514
65,727763,721417,761337,698360,705749,347145
66,708203,702195,747887,690415,692871,279119
67,688254,678112,725837,680129,663454,225271
68,652547,651924,693808,630519,638725,175547
69,617594,616769,654478,598873,613923,137602
70,573011,581551,610071,564572,576618,106655
71,534177,538242,559359,523345,529690,76769
72,489613,490604,507164,490403,483341,57499
73,440784,444384,451011,443721,438975,40644
74,396703,395688,400097,402495,395355,27259
75,348071,347038,347302,360311,359167,17908
76,306713,304330,297758,313367,322744,9986
77,261401,259860,251357,275589,275891,5957
78,223251,219770,208489,236853,236641,2704
79,186750,189185,170641,199202,201321,1580
80,156571,154962,139326,162997,166602,699
81,128091,127841,111835,135136,134727,293
82,106167,102885,87267,109327,107028,101
83,83588,82227,67716,85206,85630,78
84,64780,65380,50843,70277,66771,0
85,50174,50984,38951,52455,51161,0
86,39425,40045,29051,38846,37440,0
87,28968,31317,20920,28041,29179,0
88,21679,22426,15684,19438,21083,0
89,16668,18004,11048,14515,13755,0
90,11961,13322,7799,10269,9112,0
91,8587,9689,5743,7159,5763,0
92,6424,6441,3864,5062,4662,0
93,4285,4321,2438,2584,2897,0
94,3117,3381,1592,1534,1140,0
95,2051,2128,1122,685,727,0
96,1422,1512,831,473,434,0
97,892,1179,617,254,245,0
98,582,589,341,153,73,0
99,526,380,288,108,80,0
100,312,255,140,0,0,0
101,264,148,75,0,0,0
102,113,73,34,0,0,0
103,72,6,6,0,0,0
104,26,8,0,0,0,0
105,8,3,2,0,0,0
106,3,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
